q4	media
2	MS
2	MS
2	MS
3	MS
3	MS
2	MS
1	MS
2	MS
3	MS
2	MS
3	MS
2	MS
4	MS
2	MS
2	MS
3	MS
1	MS
2	MS
3	MS
3	MS
3	MS
1	MS
1	MS
3	MS
2	MS
1	MS
3	MS
3	MS
2	MS
1	MS
2	MS
2	MS
1	MS
2	MS
2	MS
2	MS
1	MS
3	MS
3	MS
2	MS
1	MS
3	MS
1	MS
3	MS
3	MS
1	MS
4	MS
2	MS
3	MS
1	MS
3	MS
2	MS
3	MS
3	MS
2	MS
1	MS
3	MS
4	MS
3	MS
1	MS
3	MS
2	MS
3	MS
1	MS
3	MS
3	MS
2	MS
3	MS
3	MS
2	MS
3	MS
2	MS
2	MS
3	MS
3	MS
2	MS
2	MS
2	MS
2	MS
3	MS
1	MS
2	MS
3	MS
2	MS
3	MS
3	MS
2	MS
2	MS
1	MS
3	MS
1	MS
3	MS
2	MS
2	MS
2	MS
2	MS
2	MS
3	MS
3	MS
3	MS
1	MS
2	MS
3	MS
3	MS
2	MS
3	MS
2	MS
4	MS
3	MS
1	MS
2	MS
1	MS
2	MS
1	MS
2	MS
3	MS
2	MS
2	MS
4	MS
3	MS
4	MS
1	MS
3	MS
2	MS
2	MS
3	MS
1	MS
1	MS
3	MS
3	MS
2	MS
4	MS
2	MS
3	MS
2	MS
2	MS
3	MS
1	MS
3	MS
3	MS
3	MS
3	MS
2	MS
1	MS
2	MS
2	MS
1	MS
2	MS
1	MS
3	MS
2	MS
2	MS
3	MS
2	MS
2	MS
4	MS
1	MS
2	MS
3	MS
3	MS
3	MS
4	MS
1	MS
3	MS
2	MS
2	MS
3	MS
2	MS
2	MS
3	MS
3	MS
4	MS
4	MS
1	MS
3	MS
3	MS
3	MS
3	MS
3	MS
2	MS
3	MS
2	MS
3	MS
3	MS
1	MS
1	MS
4	MS
3	MS
4	MS
1	MS
3	MS
2	MS
1	MS
2	MS
3	MS
2	MS
1	MS
1	MS
3	MS
3	MS
3	MS
2	MS
1	MS
2	MS
3	MS
3	MS
2	MS
3	MS
3	MS
2	MS
2	MS
2	MS
2	MS
4	MS
2	MS
3	MS
4	MS
3	MS
2	MS
2	MS
3	MS
1	MS
3	MS
2	MS
2	MS
1	MS
2	MS
2	MS
2	MS
2	MS
2	MS
2	MS
3	MS
2	MS
1	MS
3	MS
2	MS
1	MS
4	MS
2	IS
3	IS
2	IS
2	IS
3	IS
1	IS
3	IS
1	IS
2	IS
2	IS
2	IS
1	IS
3	IS
2	IS
3	IS
3	IS
2	IS
2	IS
2	IS
2	IS
2	IS
2	IS
3	IS
2	IS
2	IS
3	IS
4	IS
2	IS
1	IS
3	IS
3	IS
2	IS
2	IS
3	IS
3	IS
2	IS
2	IS
4	IS
3	IS
3	IS
2	IS
1	IS
2	IS
3	IS
3	IS
2	IS
