MID	DAY	SEX	AGE	GEN	PRE	ARE	JOB	MAR	CHI	q1s1	q1s2	q1s3	q1s4	q1s5	q1s6	q1s7	q1s8	q1s9	q1s10	q1s11	q1s12	q1s13	q1s14	q1s15	q1s16	q1s17	q1s18	q1s19	q2s1	q2s2	q2s3	q2s4	q2s5	q2s6	q2s7	q2s8	q2s9	q2s10	q2s11	q2s12	q2s13	q2s14	q2s15	q2s16	q2s17	q2s18	q2s19	q3s1	q3s2	q3s3	q3s4	q3s5	q3s6	q3s7	q3s8	q3s9	q3s10	q3s11	q3s12	q3s13	q3s14	q3s15	q3s16	q3s17	q3s18	q3s19
1002162315	2020/10/12 21:39	1	27	3	27	5	10	1	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
1002192198	2020/10/12 18:10	1	30	4	18	4	1	1	2	1	2	2	3	2	3	2	2	1	2	1	3	3	2	2	3	2	2	1	1	2	2	3	2	3	2	3	1	2	3	2	3	1	2	2	3	2	2	1	1	2	1	2	1	2	1	2	2	2	3	3	1	2	2	3	1	2
1002220204	2020/10/12 17:05	1	35	4	34	6	3	2	2	3	3	4	4	3	3	3	3	3	4	4	3	3	4	4	4	3	3	3	2	3	3	4	4	3	3	3	2	3	3	3	2	3	3	3	3	3	2	2	3	2	3	3	2	4	3	3	2	2	3	3	2	3	3	3	2	3
1002967507	2020/10/12 18:20	1	41	5	13	3	6	2	1	3	4	2	4	3	2	3	4	2	3	3	2	3	4	4	2	3	4	3	4	2	3	2	4	4	3	3	2	4	3	3	2	4	4	3	2	4	3	4	2	3	2	4	3	3	4	2	4	2	4	3	3	2	4	3	2	3
1002968638	2020/10/12 20:03	1	35	4	34	6	4	1	2	2	2	3	4	3	4	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3
1002980692	2020/10/12 19:32	1	35	4	11	3	5	2	1	4	3	3	3	2	5	4	3	1	1	3	2	3	4	4	5	1	4	3	3	2	1	4	4	3	3	2	4	3	3	2	4	4	1	1	3	4	3	3	3	1	4	4	3	3	2	2	3	3	4	3	2	3	5	3	3	2
1003025817	2020/10/12 21:43	2	36	4	15	4	6	1	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
1003243071	2020/10/12 16:39	2	45	5	27	5	11	1	2	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3
1003396888	2020/10/12 17:13	2	37	4	12	3	11	1	2	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
1003426889	2020/10/12 16:35	2	40	5	13	3	5	2	2	3	4	3	4	4	4	3	3	4	3	3	3	3	3	3	3	3	3	2	3	4	3	4	4	4	3	3	4	3	3	3	4	3	3	3	3	3	2	3	4	3	4	4	4	3	3	4	3	3	3	3	3	3	3	3	3	2
1003457500	2020/10/12 19:42	1	43	5	26	5	4	2	1	2	3	2	2	3	3	2	2	3	3	2	2	2	3	3	2	3	2	3	1	2	3	2	3	3	3	2	2	2	2	2	2	3	3	3	2	3	3	3	4	3	3	3	4	3	3	3	3	2	2	3	2	2	2	2	3	3
1003665016	2020/10/12 18:33	1	43	5	21	4	5	2	2	3	2	3	2	3	4	4	4	4	3	3	2	2	3	3	3	1	2	2	3	4	3	2	2	4	4	3	3	3	3	3	3	4	2	3	3	3	3	2	3	3	3	3	3	2	3	3	5	3	2	3	2	3	3	2	3	3
1003871030	2020/10/12 19:38	2	46	5	23	4	8	2	1	4	4	3	5	4	4	3	3	3	3	3	2	3	3	4	4	3	2	3	4	5	4	5	4	4	4	3	3	3	3	3	3	3	4	4	3	3	3	4	4	3	4	4	4	3	3	3	3	3	3	4	4	4	4	4	3	3
1004107434	2020/10/12 23:47	2	45	5	37	7	3	2	1	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4
1004326567	2020/10/12 18:50	2	33	4	28	5	5	1	2	4	3	4	4	3	3	4	2	3	3	2	2	3	2	3	3	3	3	2	4	3	3	4	4	4	3	4	3	4	4	3	3	4	4	3	3	4	4	4	4	3	4	4	4	3	4	4	4	4	4	4	3	4	4	4	3	2
1004495951	2020/10/12 18:20	2	35	4	40	8	1	1	2	3	4	3	4	4	4	3	3	4	4	4	2	3	3	3	3	3	3	3	3	4	3	4	3	4	3	3	4	4	4	2	2	3	3	3	3	3	3	3	4	3	4	3	3	3	3	4	4	4	2	3	3	3	3	3	3	3
1004507781	2020/10/12 18:20	2	26	3	23	4	3	1	2	5	3	5	5	5	5	5	5	5	5	4	1	5	5	5	5	5	5	5	5	3	5	5	5	5	5	5	5	5	3	1	5	5	5	5	5	5	4	5	3	5	5	5	5	5	5	5	5	3	1	5	5	5	5	5	5	4
1004512554	2020/10/12 16:46	2	40	5	13	3	9	1	2	2	2	3	3	2	2	2	2	3	3	3	2	1	3	4	3	5	2	3	2	2	1	1	1	1	1	1	2	2	2	1	2	2	2	2	2	2	1	3	2	2	2	2	3	3	3	4	3	3	3	3	4	2	2	3	3	2
1004547646	2020/10/13 07:13	1	25	3	1	1	5	1	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
