MID	DAY	SEX	AGE	GEN	PRE	ARE	JOB	MAR	CHI	q1	q2	q3s1	q3s2	q3s3	q3s4	q3s5	q4s1	q4s2	q4s3	q4s4	q4s5
1004866933	2020/10/09 20:26	2	30	4	15	4	11	1	2	2	3	1	6	1	5	6	3	2	3	2	1
1004867842	2020/10/09 19:08	1	39	4	26	5	5	1	2	1	3	6	5	1	1	6	1	2	1	1	1
1004876553	2020/10/10 05:42	2	37	4	21	4	9	2	1	2	3	1	6	6	6	6	4	4	3	3	3
1004889905	2020/10/09 22:00	1	48	5	26	5	4	2	1	1	4	6	6	6	6	6	3	3	3	3	3
1004933284	2020/10/10 07:49	2	27	3	13	3	2	2	1	2	2	1	1	1	1	1	2	2	2	2	2
1004969760	2020/10/09 22:05	2	44	5	23	4	3	2	1	3	4	6	6	6	6	6	1	1	1	1	1
1005050747	2020/10/09 17:59	1	24	3	16	4	5	1	2	1	2	1	6	5	4	6	3	3	3	3	3
1005073782	2020/10/09 17:59	1	48	5	11	3	6	1	2	1	4	1	1	6	5	6	2	2	1	1	1
1005082084	2020/10/09 18:03	2	27	3	11	3	9	1	2	2	2	1	6	1	2	5	2	2	3	3	2
1005092477	2020/10/09 22:16	2	25	3	23	4	3	1	2	2	2	3	6	1	1	1	3	3	3	3	3
1005119279	2020/10/09 21:49	2	36	4	12	3	5	1	2	2	3	1	6	1	3	5	2	3	3	1	2
1005125003	2020/10/09 18:11	1	31	4	14	3	4	1	2	1	3	1	6	6	6	6	1	4	4	4	4
1005140195	2020/10/09 18:59	2	26	3	34	6	5	1	2	2	2	1	1	1	3	4	2	3	2	2	3
1005156436	2020/10/09 22:35	1	35	4	30	5	3	1	2	1	3	1	6	6	1	6	3	3	3	3	3
1005225280	2020/10/09 22:38	1	31	4	28	5	7	1	2	1	3	6	6	1	6	6	1	1	1	1	1
1005240721	2020/10/09 19:04	1	21	3	41	8	10	1	2	1	2	1	6	1	1	6	3	3	3	3	3
1005263392	2020/10/09 22:36	1	45	5	23	4	5	2	1	1	4	1	2	6	3	6	3	4	1	2	1
1005277335	2020/10/09 23:07	2	32	4	14	3	3	2	1	2	3	1	6	6	5	5	3	3	3	3	3
1005299637	2020/10/09 18:14	1	39	4	28	5	6	2	1	1	3	1	1	1	1	3	1	1	3	3	2
1005307935	2020/10/09 22:38	1	28	3	8	3	5	2	1	1	2	2	2	2	2	2	2	2	2	2	2
1005357197	2020/10/10 02:15	2	33	4	8	3	8	2	1	2	3	6	6	1	6	6	1	1	1	1	1
1005364945	2020/10/10 03:54	2	21	3	28	5	10	1	2	2	2	1	6	1	1	6	2	2	2	3	3
1005379124	2020/10/09 22:44	2	23	3	13	3	3	2	1	2	2	2	2	2	2	2	4	4	4	4	4
1005429639	2020/10/09 21:05	1	36	4	13	3	11	1	2	1	3	6	5	2	2	6	4	4	2	3	3
1005436106	2020/10/09 18:57	2	35	4	13	3	8	2	1	2	3	1	6	2	4	6	2	3	1	1	3
1005458120	2020/10/10 00:49	1	27	3	25	5	10	1	2	1	2	1	2	1	1	4	3	3	4	3	2
1005483831	2020/10/09 19:03	2	25	3	13	3	4	1	2	2	2	4	6	1	1	2	2	4	2	2	2
1005487232	2020/10/10 16:14	2	28	3	23	4	9	1	2	2	2	1	6	1	1	5	3	3	3	3	3
1005495783	2020/10/09 22:29	2	33	4	27	5	9	1	2	2	3	6	6	6	6	6	1	1	1	1	1
1005507941	2020/10/09 21:54	1	46	5	13	3	5	2	1	1	4	1	6	1	4	5	3	3	2	3	2
1005522190	2020/10/10 12:07	2	28	3	24	5	9	2	1	2	2	1	6	1	1	1	3	3	3	3	3
1005526270	2020/10/10 08:17	2	32	4	39	7	5	1	2	2	3	1	6	1	4	4	3	3	3	2	2
1005551911	2020/10/09 21:48	1	41	5	12	3	3	2	1	1	4	2	2	6	1	6	4	4	1	3	1
1005563512	2020/10/10 11:07	2	33	4	13	3	5	1	2	2	3	1	6	2	2	3	3	4	2	3	3
1005586843	2020/10/09 20:35	1	24	3	13	3	5	1	2	1	2	6	6	1	6	5	1	1	3	2	2
1005597939	2020/10/09 21:15	2	33	4	13	3	8	2	2	2	3	1	6	1	6	6	3	3	3	3	3
1005659760	2020/10/09 21:34	2	18	2	13	3	10	1	2	2	1	3	6	1	3	3	3	3	2	2	2
1005665408	2020/10/09 21:18	2	36	4	27	5	8	2	1	2	3	1	6	1	1	2	2	2	2	2	2
1005675433	2020/10/10 14:44	2	27	3	23	4	9	1	2	2	2	1	6	1	1	4	3	3	3	3	3
1005678254	2020/10/09 20:40	1	41	5	6	2	4	2	1	1	4	5	6	1	1	6	3	3	3	3	3
1005698641	2020/10/10 10:38	2	34	4	22	4	11	1	2	2	3	1	4	6	3	5	3	3	2	2	1
1005705296	2020/10/10 00:00	1	30	4	25	5	4	1	2	1	3	1	1	1	2	6	1	1	2	2	1
1005720653	2020/10/09 21:25	1	36	4	40	8	7	1	2	1	3	1	1	6	3	6	2	2	4	2	4
1005732952	2020/10/09 20:30	2	46	5	27	5	9	2	2	2	4	1	6	1	4	4	2	2	2	2	3
1005745708	2020/10/09 19:15	1	30	4	10	3	9	1	2	1	3	3	1	4	1	3	2	3	3	3	2
1005806074	2020/10/09 18:33	1	25	3	27	5	2	2	1	1	2	1	2	2	2	2	2	2	1	1	1
1005813533	2020/10/10 16:05	2	30	4	23	4	8	2	2	2	3	1	6	1	6	6	3	3	2	2	2
1005815664	2020/10/09 18:24	1	35	4	6	2	9	1	2	1	3	1	5	6	1	2	2	2	2	3	2
1005819661	2020/10/09 19:44	2	21	3	14	3	10	1	2	2	2	1	6	4	1	4	3	3	2	2	2
1005822316	2020/10/09 20:41	2	35	4	1	1	8	2	2	2	3	1	6	1	1	6	3	3	3	3	2
1005855256	2020/10/09 19:23	1	34	4	21	4	11	1	2	1	3	1	1	1	1	6	3	3	3	3	2
1005877409	2020/10/09 18:01	1	48	5	10	3	4	2	1	1	4	6	6	6	5	5	1	1	1	2	2
1005894968	2020/10/09 19:50	1	38	4	17	4	5	2	2	1	3	1	6	6	1	6	2	2	2	2	2
1005916924	2020/10/10 06:20	2	48	5	2	2	11	2	1	2	4	1	6	6	6	6	3	2	1	1	1
1005932174	2020/10/09 23:13	2	49	5	27	5	8	2	1	2	4	1	6	6	6	6	3	3	3	3	3
1005933511	2020/10/09 18:11	1	41	5	11	3	9	1	2	1	4	2	2	1	1	6	1	1	1	1	1
1005945744	2020/10/10 13:50	2	38	4	39	7	6	2	1	2	3	1	6	6	3	6	3	4	3	3	3
1005947052	2020/10/10 00:01	2	47	5	24	5	5	1	2	2	4	1	6	6	6	6	3	3	2	2	2
1005977013	2020/10/10 11:57	2	48	5	27	5	3	2	1	2	4	2	1	4	4	5	3	3	2	2	2
1005990970	2020/10/09 18:34	2	36	4	37	7	3	1	2	2	3	1	1	6	6	6	3	3	3	2	3
